COUNTRY,TC,TD
Afghanistan,157665,7331
Albania,204627,3152
Algeria,213533,6165
Andorra,213533,6165
Angola,65565,1737
Anguilla,1592,4
Antigua and Barbuda,4177,117
Argentina,5371341,116857
Armenia,342977,7856
Aruba,16673,178
Australia,238945,2126
Austria,1239287,13333
Azerbaijan,607076,8137
Bahamas,22950,708
Bahrain,278202,1394
Bangladesh,1580302,28038
Barbados,27027,254
Belarus,678277,5322
Belgium,1968269,27685
Belize,31187,586
Benin,24907,161
Bermuda,5784,106
Bhutan,2652,3
Bolivia,556765,19355
Bosnia and Herzegovina,283109,13064
Botswana,197644,2424
Brazil,22201221,617348
British Virgin Islands,2842,39
Brunei,15372,98
Bulgaria,720376,29847
Burkina Faso,16672,296
Burundi,20886,38
Cabo Verde,38527,351
Cambodia,120390,2995
Cameroon,107662,1836
Canada,1851057,29994
Chad,5701,181
Chile,1786184,38727
China,100000,4636
Colombia,5099746,129256
Comoros,4576,151
Congo,19066,359
Costa Rica,568373,7336
Croatia,662397,11779
Cuba,963813,8313
Cyprus,142878,614
Czech Republic,2367076,34813
Denmark,579275,3039
Djibouti,13526,189
Dominica,6286,42
Dominican Republic,410926,4220
DR Congo,61932,42
Ecuador,534176,33570
Egypt,371698,21203
El Salvador,121267,3800
Equatorial Guinea,13617,175
Eritrea,7686,65
Estonia,229869,1869
Eswatini,56200,1254
Ethiopia,373860,6846
Faroe Islands,4477,13
Fiji,52604,697
Finland,209258,1446
France,8399846,120983
French Polynesia,46335,636
Gabon,37681,285
Gambia,10045,342
Georgia,898079,12879
Germany,6656161,107675
Ghana,131840,1253
Gibraltar,7629,100
Greece,1017445,19553
Greenland,1917,0
Grenada,5915,200
Guadeloupe,55284,748
Guatemala,622866,16057
Guinea,30814,388
Guinea-Bissau,6452,149
Guyana,38684,1025
Haiti,25865,762
Honduras,378642,10424
Hong Kong,12497,213
Hungary,1208020,37232
Iceland,19861,36
India,34718669,476227
Indonesia,4259644,143969
Iran,6162954,130883
Iraq,2089259,24017
Ireland,636407,5835
Isle of Man,12812,67
Israel,1352403,8227
Italy,5282076,135178
Ivory Coast,61943,706
Jamaica,91868,2432
Japan,1729035,18375
Jordan,1024032,12078
Kazakhstan,980860,12887
Kenya,257614,5350
Kuwait,413847,2466
Kyrgyzstan,184055,2775
Laos,93061,256
Latvia,264031,4408
Lebanon,694256,8886
Lesotho,23478,665
Liberia,5844,287
Libya,379816,5576
Liechtenstein,5472,68
Lithuania,495686,7039
Luxembourg,95222,896
Madagascar,45794,980
Malawi,62933,2310
Malaysia,2703140,30989
Maldives,93532,259
Mali,18855,634
Malta,40892,471
Mauritania,39924,852
Mauritius,22769,680
Mexico,3924638,297187
Moldova,370951,9434
Monaco,4223,36
Mongolia,385973,2039
Montenegro,160270,2365
Montserrat,44,1
Morocco,951984,14798
Mozambique,155495,1946
Myanmar,527503,19197
Namibia,133444,3578
Nepal,825016,11565
Netherlands,2920438,20255
New Caledonia,12421,280
New Zealand,13143,47
Nicaragua,17391,210
Niger,7176,270
Nigeria,220020,2983
North Macedonia,220169,7768
Norway,334488,1202
Oman,304761,4113
Pakistan,1289913,28843
Palestine,435124,4589
Panama,481438,7391
Papua New Guinea,35966,587
Paraguay,464004,16517
Peru,2256796,201902
Philippines,2836915,50449
Poland,3881349,89714
Portugal,1205993,18698
Qatar,245855,614
Romania,1795418,57935
Russia,10103160,292891
Rwanda,100888,1344
South Korea,544117,4518
Saint Kitts and Nevis,2797,28
Saint Lucia,13115,285
Saint Martin,3973,56
San Marino,6600,94
Sao Tome and Principe,3733,57
Saudi Arabia,550457,8857
Senegal,74105,1886
Serbia,1278120,12275
Seychelles,23806,129
Sierra Leone,6434,121
Singapore,274617,807
Slovakia,788772,15621
Slovenia,443873,5444
Somalia,23074,1333
South Africa,3231031,90226
South Sudan,12969,133
Spain,5393268,88619
Sri Lanka,576966,14677
Sudan,45112,3252
Suriname,51289,1179
Sweden,1242733,15185
Switzerland,1149097,11905
Syria,49493,2828
Taiwan,16759,849
Tajikistan,17095,124
Tanzania,26483,734
Thailand,2181960,21284
Togo,26442,243
Trinidad and Tobago,82563,2486
Tunisia,720143,25445
Turkey,9100324,79696
Turk and Caicos Islands,3151,25
United Arab Emirates,743152,2151
Uganda,128212,3269
United Kingdom,11010286,146791
Ukraine,3578557,91958
Uruguay,403293,6147
United States,51290979,823390
Uzbekistan,196303,1445
Venezuela,439444,5250
Vietnam,1459175,28616
Yemen,10081,1973
Zambia,212278,3671
Zimbabwe,177690,4745
