COUNTRY,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP
Afghanistan,18.9,54.5,0.496,507.1033919,,,7331,157665,38928.346
Albania,32.9,14.3,0.791,5355.847795,4736000,4852000,3152,204627,2877.797
Algeria,28.1,5.5,0.759,3975.508993,2039000,4530000,6165,213533,43851.044
Andorra,44.3,0.1,0.868,40897.33087,8025000,,6165,213533,77.265
Angola,15.9,32.3,0.574,2809.626088,397000,,1737,65565,32866.272
Anguilla,34.8,23.5,0.865,18405,,,4,1592,15.003
Antigua and Barbuda,31.9,18.3,0.776,17113.34977,874000,,117,4177,97.929
Argentina,31.7,35.5,0.83,9912.281809,6668000,18645000,116857,5371341,45195.774
Armenia,35.1,26.4,0.76,4622.738182,1260000,1263000,7856,342977,2963.243
Aruba,39.3,15.9,0.908,30253.28,1758000,,178,16673,106.766
Australia,38.7,12.4,0.938,55057.2047,8269000,10390000,2126,238945,25499.884
Austria,44,13.3,0.914,50121.55421,28121000,11534000,13333,1239287,9006.398
Azerbaijan,32.3,6,0.754,4805.753718,2249000,4282000,8137,607076,10139.177
Bahamas,32,9.3,0.805,28607.9,,,708,22950,393.244
Bahrain,32.3,0.1,0.838,23443.43483,10158000,3293000,1394,278202,1701.575
Bangladesh,26.7,24.3,0.614,1855.69151,182000,,28038,1580302,164689.383
Barbados,38.6,17.2,0.813,18148.49785,1227000,,254,27027,287.375
Belarus,40,5,0.817,6839.103833,10935000,8340000,5322,678277,9449.323
Belgium,41.4,14.8,0.919,46414.43523,7481000,13372000,27685,1968269,11589.623
Belize,22.7,42,0.72,5078.809944,1391000,,586,31187,397.628
Benin,18.2,38.5,0.52,1219.515479,292000,,161,24907,12123.2
Bermuda,43.4,23,0.981,117098.4463,642000,,106,5784,62.278
Bhutan,27.6,8.2,0.617,3316.167022,210000,,3,2652,771.608
Bolivia,24.3,37.2,0.703,3552.068144,961000,940000,19355,556765,11673.021
Bosnia and Herzegovina,42.1,16.9,0.769,6120.112626,778000,,13064,283109,3280.819
Botswana,24.5,19.3,0.728,7970.796968,1712000,,2424,197644,2351.627
Brazil,32.6,26.5,0.761,8897.48777,6547000,8872000,617348,22201221,212559.417
British Virgin Islands,36.5,0.1,0.945,34246,408000,,39,2842,30.231
Brunei,30.2,5,0.845,27466.34,,,98,15372,437.479
Bulgaria,42.7,23.8,0.816,9828.148515,10604000,5392000,29847,720376,6948.445
Burkina Faso,17.3,41.4,0.434,786.8954377,152000,,296,16672,20903.273
Burundi,17,64.9,0.423,261.2452912,187000,,38,20886,11890.784
Cabo Verde,27.6,41.3,0.665,3064.27,598000,,351,38527,555988
Cambodia,25.3,17.7,0.581,1643.121389,5012000,1434000,2995,120390,16718.965
Cameroon,18.5,37.5,0.563,1507.449798,994000,,1836,107662,26545.863
Canada,42.2,11.6,0.922,46326.67264,30142000,52979000,29994,1851057,37742.154
Chad,17.8,42.3,0.401,709.5400432,98000,56000,181,5701,16425.864
Chile,34.4,8.6,0.847,14741.7144,6712000,4269000,38727,1786184,19116.201
China,37.4,0.6,0.758,10216.63033,141774000,135130000,4636,100000,1439323.776
Colombia,30,35.7,0.761,6424.979492,3675000,3795000,129256,5099746,50882.891
Comoros,19.9,42.4,0.538,1370.140123,26799.99924,,151,4576,869.601
Costa Rica,31.3,21,0.794,12669.70608,3204000,1036000,7336,568373,5094.118
Croatia,43,18.3,0.837,14944.35622,57587000,2581000,11779,662397,4105.267
Cuba,41.5,26,0.778,9099.673146,4009000,894000,8313,963813,11326.616
Cyprus,36.8,14.7,0.873,28288.46158,3286000,1268000,614,142878,1207.359
Czech Republic,42.1,10.1,0.891,23660.14881,32519000,6027000,34813,2367076,10708.981
Denmark,42.2,12.5,0.93,59775.7351,28692000,9651000,3039,579275,5792.202
Djibouti,23.9,21.1,0.495,3414.935393,,,189,13526,988
Dominica,33.5,39,0.724,8001.997095,356000,,42,6286,71.986
Dominican Republic,28.1,21,0.745,8282.117131,6769000,500000,4220,410926,10847.91
DR Congo,18.6,63.9,0.459,556.81,,,42,61932,89561.403
Ecuador,27.7,25,0.758,6222.524653,1569000,1366000,33570,534176,17643.054
Egypt,23.9,32.5,0.7,3547.87,,,21203,371698,102334.404
El Salvador,27.1,22.8,0.667,4167.730939,2052000,1804000,3800,121267,6486.205
Equatorial Guinea,19.8,76.8,0.588,8419.933336,,,175,13617,1402.985
Eritrea,19.7,69,0.434,642.51,142000,,65,7686,3546.421
Estonia,42.7,21.7,0.882,23397.12001,5942000,1339000,1869,229869,1326.535
Eswatini,21.7,58.9,0.608,3894.66963,1279000,1789000,1254,56200,1160.164
Ethiopia,17.9,23.5,0.47,855.7608852,871000,,6846,373860,114963.588
Faroe Islands,37.6,10.1,0.95,64225.2649,,,13,4477,48.863
Fiji,28.9,29.9,0.724,6175.874841,963000,156000,697,52604,896.445
Finland,42.5,12.2,0.925,48678.31413,2789000,10278000,1446,209258,5540.72
France,41.4,13.6,0.891,40578.64429,203042000,29636000,120983,8399846,65273.511
Gabon,18.6,33.4,0.702,7767.016979,,,285,37681,2225.734
Gambia,21,48.6,0.466,787.01,,,342,10045,2416.668
Georgia,38.1,19.5,0.786,4697.983652,5393000,3400000,12879,898079,3989.167
Germany,47.1,14.8,0.939,46794.89929,35555000,90966000,107675,6656161,83783.942
Ghana,21.1,23.4,0.596,2210.355923,,,1253,131840,31072.94
Gibraltar,34.7,0.1,0.961,92843,,,100,7629,33.691
Greece,44.5,17.9,0.872,19150.7862,28071000,7235000,19553,1017445,10423.054
Grenada,31.5,32,0.779,10815.91136,474000,,200,5915,112.523
Guadeloupe,43.7,34.5,0.853,24668,,,748,55284,400.124
Guatemala,22.1,59.3,0.651,4638.634943,1906000,1195000,16057,622866,17915.568
Guinea,18.9,43.7,0.466,1058.143368,63000,,388,30814,13132.795
Guinea-Bissau,20.1,69.3,0.461,749.453747,45200.00076,,149,6452,1968.001
Guyana,26.2,36.1,0.67,6609.510431,235000,,1025,38684,786.552
