COUNTRY,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP,MR,SPI,HDS,WLHS,ARI,DPI,TRI
Afghanistan,18.9,54.5,0.496,507.1033919,0,0,7331,157665,38928.346,4.649732027,4.050133545,Underdeveloped,Extreme Low,67.16277367,68.48091912,67.8218464
Albania,32.9,14.3,0.791,5355.847795,4736000,4852000,3152,204627,2877.797,1.540363686,71.10543238,Developing,Low,1645.703293,1686.011904,1665.857599
Algeria,28.1,5.5,0.759,3975.508993,2039000,4530000,6165,213533,43851.044,2.887141566,4.869507782,Developing,Low,46.49832282,103.304268,74.90129539
Andorra,44.3,0.1,0.868,40897.33087,8025000,0,6165,213533,77.265,2.887141566,2763.6446,Developed,Moderate High,103863.3275,935.7345437,52399.53103
Angola,15.9,32.3,0.574,2809.626088,397000,0,1737,65565,32866.272,2.649279341,1.994902251,Developing,Low,12.07925255,376.6641062,194.3716794
Anguilla,34.8,23.5,0.865,18405,0,0,4,1592,15.003,0.251256281,106.1121109,Developed,Moderate,1843.111899,578.4580615,1210.78498
Antigua and Barbuda,31.9,18.3,0.776,17113.34977,874000,0,117,4177,97.929,2.801053388,42.6533509,Developing,Moderate,8924.833298,578.4580615,4751.64568
Argentina,31.7,35.5,0.83,9912.281809,6668000,18645000,116857,5371341,45195.774,2.175564724,118.8460895,Developed,Moderate,147.5359178,412.5385705,280.0372442
Armenia,35.1,26.4,0.76,4622.738182,1260000,1263000,7856,342977,2963.243,2.290532601,115.7437983,Developing,Low,425.2098124,426.2222167,425.7160145
Aruba,39.3,15.9,0.908,30253.28,1758000,0,178,16673,106.766,1.067594314,156.1639473,Developed,Moderate High,16465.91612,935.7345437,8700.82533
Australia,38.7,12.4,0.938,55057.2047,8269000,10390000,2126,238945,25499.884,0.889744502,9.370434783,Developed,Extreme High,324.2759849,407.4528339,365.8644094
Austria,44,13.3,0.914,50121.55421,28121000,11534000,13333,1239287,9006.398,1.075860555,137.6007367,Developed,Extreme High,3122.335922,1280.645159,2201.49054
Azerbaijan,32.3,6,0.754,4805.753718,2249000,4282000,8137,607076,10139.177,1.340359362,59.87428763,Developing,Low,221.812875,422.3222457,322.0675603
Bahamas,32,9.3,0.805,28607.9,0,0,708,22950,393.244,3.08496732,58.36071243,Developed,Moderate High,10430.24086,935.7345437,5682.987701
Bahrain,32.3,0.1,0.838,23443.43483,10158000,3293000,1394,278202,1701.575,0.501074759,163.4967604,Developed,Moderate,5969.763308,1935.265857,3952.514582
Bangladesh,26.7,24.3,0.614,1855.69151,182000,0,28038,1580302,164689.383,1.774217839,9.595651955,Developing,Extreme Low,1.105110704,68.48091912,34.79301491
Barbados,38.6,17.2,0.813,18148.49785,1227000,0,254,27027,287.375,0.93980094,94.04784689,Developed,Moderate,4269.682471,578.4580615,2424.070266
Belarus,40,5,0.817,6839.103833,10935000,8340000,5322,678277,9449.323,0.784635186,71.78048628,Developed,Moderate,1157.225761,882.6029124,1019.914337
Belgium,41.4,14.8,0.919,46414.43523,7481000,13372000,27685,1968269,11589.623,1.406565871,169.830287,Developed,Extreme High,645.4912295,1153.790766,899.6409978
Belize,22.7,42,0.72,5078.809944,1391000,0,586,31187,397.628,1.87898804,78.43260535,Developing,Low,3498.24459,376.6641062,1937.454348
Benin,18.2,38.5,0.52,1219.515479,292000,0,161,24907,12123.2,0.646404625,2.054490564,Developing,Extreme Low,24.08604989,68.48091912,46.2834845
Bermuda,43.4,23,0.981,117098.4463,642000,0,106,5784,62.278,1.83264177,92.87388805,Developed,Extreme High,10308.6162,1438.963748,5873.789976
Bhutan,27.6,8.2,0.617,3316.167022,210000,0,3,2652,771.608,0.113122172,3.436978362,Developing,Low,272.1589201,376.6641062,324.4115131
Bolivia,24.3,37.2,0.703,3552.068144,961000,940000,19355,556765,11673.021,3.476332025,47.69673592,Developing,Low,82.32658881,80.52756866,81.42707873
Bosnia and Herzegovina,42.1,16.9,0.769,6120.112626,778000,0,13064,283109,3280.819,4.61447711,86.29217278,Developing,Moderate,237.1359103,578.4580615,407.7969859
Botswana,24.5,19.3,0.728,7970.796968,1712000,0,2424,197644,2351.627,1.226447552,84.04564159,Developing,Moderate,728.0066099,578.4580615,653.2323357
Brazil,32.6,26.5,0.761,8897.48777,6547000,8872000,617348,22201221,212559.417,2.780693909,104.4471297,Developing,Moderate,30.80079957,41.73891764,36.26985861
British Virgin Islands,36.5,0.1,0.945,34246,408000,0,39,2842,30.231,1.372273047,94.00946049,Developed,Moderate High,13496.08018,935.7345437,7215.907363
Brunei,30.2,5,0.845,27466.34,0,0,98,15372,437.479,0.637522769,35.13768661,Developed,Moderate High,10430.24086,935.7345437,5682.987701
Bulgaria,42.7,23.8,0.816,9828.148515,10604000,5392000,29847,720376,6948.445,4.143252968,103.6744192,Developed,Moderate,1526.096846,776.0009614,1151.048904
Burkina Faso,17.3,41.4,0.434,786.8954377,152000,0,296,16672,20903.273,1.775431862,0.797578446,Underdeveloped,Extreme Low,7.271588521,68.48091912,37.87625382
Burundi,17,64.9,0.423,261.2452912,187000,0,38,20886,11890.784,0.181940056,1.756486368,Underdeveloped,Extreme Low,15.72646513,68.48091912,42.10369213
Cabo Verde,27.6,41.3,0.665,3064.27,598000,0,351,38527,555988,0.911049394,0.069294661,Developing,Low,1.075562782,376.6641062,188.8698345
