Full Correlation Table,,,,,,,,,,,,,,
,AGE,POR,HDI,GDPCAP,ARRVL,DPRT,TD,TC,POP,MR,SPI,ARI,DPI,TRI
AGE,1,-0.655844816,0.876521688,0.5987737,0.30304294,0.272673051,0.125581007,0.136091013,-0.001501775,-0.203286984,0.301132948,0.282390853,0.640410611,0.316869496
POR,-0.655844816,1,-0.721066,-0.439605734,-0.186327483,-0.166109256,-0.054155202,-0.080865017,-0.063596368,0.215141937,-0.228177467,-0.220602348,-0.442078398,-0.243994652
HDI,0.876521688,-0.721066,1,0.64681493,0.269691872,0.25777356,0.138422635,0.148372082,-0.039299685,-0.286114053,0.256319173,0.248545448,0.690528732,0.286612684
GDPCAP,0.5987737,-0.439605734,0.64681493,1,0.136690629,0.153053382,0.029694946,0.069745299,-0.079487137,-0.244781937,0.179725161,0.2061937,0.681602844,0.244391734
ARRVL,0.30304294,-0.186327483,0.269691872,0.136690629,1,0.757205594,0.480599989,0.502406463,0.355658044,0.037654865,0.052197284,-0.000530583,0.075005923,0.0040424
DPRT,0.272673051,-0.166109256,0.25777356,0.153053382,0.757205594,1,0.55018892,0.552112637,0.480139801,0.083699673,0.012201148,-0.055949013,0.126944071,-0.047333364
TD,0.125581007,-0.054155202,0.138422635,0.029694946,0.480599989,0.55018892,1,0.936207389,0.411402978,0.108403361,0.021989215,-0.057877208,-0.07793364,-0.06169885
TC,0.136091013,-0.080865017,0.148372082,0.069745299,0.502406463,0.552112637,0.936207389,1,0.470921939,-0.010716972,0.029032123,-0.053212085,-0.060128683,-0.056024436
POP,-0.001501775,-0.063596368,-0.039299685,-0.079487137,0.355658044,0.480139801,0.411402978,0.470921939,1,0.075653325,-0.062521545,-0.066940352,-0.165227101,-0.075930068
MR,-0.203286984,0.215141937,-0.286114053,-0.244781937,0.037654865,0.083699673,0.108403361,-0.010716972,0.075653325,1,-0.04169655,-0.027795124,-0.256494036,-0.042961915
SPI,0.301132948,-0.228177467,0.256319173,0.179725161,0.052197284,0.012201148,0.021989215,0.029032123,-0.062521545,-0.04169655,1,0.842928335,0.211932443,0.842411185
ARI,0.282390853,-0.220602348,0.248545448,0.2061937,-0.000530583,-0.055949013,-0.057877208,-0.053212085,-0.066940352,-0.027795124,0.842928335,1,0.232700055,0.998247024
DPI,0.640410611,-0.442078398,0.690528732,0.681602844,0.075005923,0.126944071,-0.07793364,-0.060128683,-0.165227101,-0.256494036,0.211932443,0.232700055,1,0.289852548
TRI,0.316869496,-0.243994652,0.286612684,0.244391734,0.0040424,-0.047333364,-0.06169885,-0.056024436,-0.075930068,-0.042961915,0.842411185,0.998247024,0.289852548,1
